Title,Location,Company,Salary,Description
Software Engineering Manager - Machine Learning,"New York, NY 10003 (Flatiron District area)",Facebook,None,Machine Learning Engineering Managers are clearly characterized by progressive technical experience and demonstrated progression in management responsibility.
Machine Learning Engineer (Drug Discovery) (2-5 years),"New York, NY 10036",Career Developers,None,"A focus on deep learning techniques (deep neural networks, convolutional neural networks, recurrent neural networks, deep reinforcement learning, deep belief…"
Summer 2021 Internship: Artificial Intelligence and Machine...,"New York, NY",The Motley Fool,None,"Familiarity with a deep learning framework.
Proficiency with Python and/or R and basic libraries for machine learning (e.g. PANDAS and Scikit-Learn)."
Machine Learning Researcher,"New York, NY","D. E. Shaw & Co., L.P.",None,"All types of learning and AI, including deep learning and statistical learning, are potentially relevant."
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Summer Fellow, Machine Learning Engineer","New York, NY",Conde Nast,None,"We are seeking a Machine Learning Engineering Fellow to assist in these projects.
Design and implement scalable systems to convert large volumes of data into…"
Machine Learning Scientist - New York,"New York, NY",Tempus,None,"Experience with the following: Pandas, NumPy, SciPy, Scikit-learn, Jupyter Notebooks, and a machine learning framework such as TensorFlow, SageMaker, or PyTorch…"
Machine Learning Engineer,"New York, NY",Spotify,None,"You have a strong background in machine learning.
You have some hands-on experience implementing or prototyping machine learning systems at scale in Java, Scala…"
Machine Learning Program Associate,"New York, NY","JPMorgan Chase Bank, N.A.",None,"The ACIP is seeking a talented candidate to act as a Program Associate for the ACIC.
As a Program Associate, they will drive the overall agenda of the Council,…"
Machine Learning Engineer,"New York, NY",Immunai,None,"Proven ability to develop, deploy, and maintain machine learning models in a production environment.
Immunai's mission is to map the immune system with neural…"
Machine Learning Systems Intern,"Brooklyn, NY 11201",Etsy,None,"Bonus: Practical experience designing & architecting machine learning systems.
Our team's goal is to build real-time, configurable & scalable systems that…"
Machine Learning (AI) Engineer,"New York, NY 10036 (Midtown area)",Gemological Institute of America,None,"Understanding of machine learning techniques and algorithms, such as CNN, k-NN, Naive Bayes, SVM, etc.
Demonstrated expertise with deep learning frameworks,…"
"Software Engineer, Machine Learning","New York, NY 10003 (Flatiron District area)",Facebook,None,"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models."
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Senior Manager, Data and Machine Learning Engineering","New York, NY 10012 (Greenwich Village area)",Capital One,None,"3+ years of experience productionizing, monitoring, and maintaining machine learning models.
At least 3 years of experience with data gathering and preparation…"
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Software Engineer, Machine Learning Platform","Brooklyn, NY 11201",Etsy,None,"A foundational understanding of machine learning.
2+ years of experience as an engineer in machine learning and/or infrastructure engineering and a focus on…"
"Senior Manager, Data and Machine Learning Engineering","New York, NY 10012 (Greenwich Village area)",Capital One,None,"3+ years of experience productionizing, monitoring, and maintaining machine learning models.
At least 3 years of experience with data gathering and preparation…"
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Software Engineer, Machine Learning Platform","Brooklyn, NY 11201",Etsy,None,"A foundational understanding of machine learning.
2+ years of experience as an engineer in machine learning and/or infrastructure engineering and a focus on…"
"Summer Fellow, Machine Learning Engineer","New York, NY",Conde Nast,None,"We are seeking a Machine Learning Engineering Fellow to assist in these projects.
Design and implement scalable systems to convert large volumes of data into…"
NLP and Machine Learning Research Scientist,United States,Baidu USA,"$140,000 - $250,000 a year","Good knowledge of common machine learning models.
Collaborate with other researchers in developing machine learning algorithms."
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Summer Fellow, Machine Learning Engineer","New York, NY",Conde Nast,None,"We are seeking a Machine Learning Engineering Fellow to assist in these projects.
Design and implement scalable systems to convert large volumes of data into…"
"Software Engineer, Machine Learning Platform","Brooklyn, NY 11201",Etsy,None,"A foundational understanding of machine learning.
2+ years of experience as an engineer in machine learning and/or infrastructure engineering and a focus on…"
Summer 2021 Internship: Artificial Intelligence and Machine...,"New York, NY",The Motley Fool,None,"Familiarity with a deep learning framework.
Proficiency with Python and/or R and basic libraries for machine learning (e.g. PANDAS and Scikit-Learn)."
Technical Sales Engineer (AI & Machine Learning),United States,Lucd,"From $128,189 a year","Quickly learning, understanding, and articulating the integrate of multiple applications and platforms.
Lucd is seeking a Technical Sales Consultant (TSC) whose…"
Machine Learning Engineer (Drug Discovery) (2-5 years),"New York, NY 10036",Career Developers,None,"A focus on deep learning techniques (deep neural networks, convolutional neural networks, recurrent neural networks, deep reinforcement learning, deep belief…"
"Summer Fellow, Machine Learning Engineer","New York, NY",Conde Nast,None,"We are seeking a Machine Learning Engineering Fellow to assist in these projects.
Design and implement scalable systems to convert large volumes of data into…"
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Software Engineer, Machine Learning Platform","Brooklyn, NY 11201",Etsy,None,"A foundational understanding of machine learning.
2+ years of experience as an engineer in machine learning and/or infrastructure engineering and a focus on…"
"Summer Research Assistant/Associate, Machine Learning (Cente...","New York, NY 10010 (Flatiron District area)",Simons Foundation,None,"Required experience includes courses in probability and statistics, linear algebra, machine learning and/or signal processing."
Summer 2021 Internship: Artificial Intelligence and Machine...,"New York, NY",The Motley Fool,None,"Familiarity with a deep learning framework.
Proficiency with Python and/or R and basic libraries for machine learning (e.g. PANDAS and Scikit-Learn)."
NLP and Machine Learning Research Scientist,United States,Baidu USA,"$140,000 - $250,000 a year","Good knowledge of common machine learning models.
Collaborate with other researchers in developing machine learning algorithms."
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Summer Fellow, Machine Learning Engineer","New York, NY",Conde Nast,None,"We are seeking a Machine Learning Engineering Fellow to assist in these projects.
Design and implement scalable systems to convert large volumes of data into…"
"Summer Research Assistant/Associate, Machine Learning (Cente...","New York, NY 10010 (Flatiron District area)",Simons Foundation,None,"Required experience includes courses in probability and statistics, linear algebra, machine learning and/or signal processing."
"Software Engineer, Machine Learning Platform","Brooklyn, NY 11201",Etsy,None,"A foundational understanding of machine learning.
2+ years of experience as an engineer in machine learning and/or infrastructure engineering and a focus on…"
Summer 2021 Internship: Artificial Intelligence and Machine...,"New York, NY",The Motley Fool,None,"Familiarity with a deep learning framework.
Proficiency with Python and/or R and basic libraries for machine learning (e.g. PANDAS and Scikit-Learn)."
"Machine Learning Engineer, Applied AI (L3)","New York, NY",Virta Health,None,You have 3+ years experience as a data scientist/machine learning engineer deploying models in production at scale.
Software Engineering Manager - Machine Learning,"New York, NY 10003 (Flatiron District area)",Facebook,None,Machine Learning Engineering Managers are clearly characterized by progressive technical experience and demonstrated progression in management responsibility.
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Summer Fellow, Machine Learning Engineer","New York, NY",Conde Nast,None,"We are seeking a Machine Learning Engineering Fellow to assist in these projects.
Design and implement scalable systems to convert large volumes of data into…"
"Summer Research Assistant/Associate, Machine Learning (Cente...","New York, NY 10010 (Flatiron District area)",Simons Foundation,None,"Required experience includes courses in probability and statistics, linear algebra, machine learning and/or signal processing."
"Software Engineer, Machine Learning Platform","Brooklyn, NY 11201",Etsy,None,"A foundational understanding of machine learning.
2+ years of experience as an engineer in machine learning and/or infrastructure engineering and a focus on…"
"Machine Learning Engineer, Applied AI (L3)","New York, NY",Virta Health,None,You have 3+ years experience as a data scientist/machine learning engineer deploying models in production at scale.
Summer 2021 Internship: Artificial Intelligence and Machine...,"New York, NY",The Motley Fool,None,"Familiarity with a deep learning framework.
Proficiency with Python and/or R and basic libraries for machine learning (e.g. PANDAS and Scikit-Learn)."
Machine Learning (AI) Engineer,"New York, NY 10036 (Midtown area)",Gemological Institute of America,None,"Understanding of machine learning techniques and algorithms, such as CNN, k-NN, Naive Bayes, SVM, etc.
Demonstrated expertise with deep learning frameworks,…"
"Senior Manager, Data and Machine Learning Engineering","New York, NY 10012 (Greenwich Village area)",Capital One,None,"3+ years of experience productionizing, monitoring, and maintaining machine learning models.
At least 3 years of experience with data gathering and preparation…"
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Summer Fellow, Machine Learning Engineer","New York, NY",Conde Nast,None,"We are seeking a Machine Learning Engineering Fellow to assist in these projects.
Design and implement scalable systems to convert large volumes of data into…"
"Summer Research Assistant/Associate, Machine Learning (Cente...","New York, NY 10010 (Flatiron District area)",Simons Foundation,None,"Required experience includes courses in probability and statistics, linear algebra, machine learning and/or signal processing."
"Software Engineer, Machine Learning Platform","Brooklyn, NY 11201",Etsy,None,"A foundational understanding of machine learning.
2+ years of experience as an engineer in machine learning and/or infrastructure engineering and a focus on…"
"Machine Learning Engineer, Applied AI (L3)","New York, NY",Virta Health,None,You have 3+ years experience as a data scientist/machine learning engineer deploying models in production at scale.
Summer 2021 Internship: Artificial Intelligence and Machine...,"New York, NY",The Motley Fool,None,"Familiarity with a deep learning framework.
Proficiency with Python and/or R and basic libraries for machine learning (e.g. PANDAS and Scikit-Learn)."
Machine Learning (AI) Engineer,"New York, NY 10036 (Midtown area)",Gemological Institute of America,None,"Understanding of machine learning techniques and algorithms, such as CNN, k-NN, Naive Bayes, SVM, etc.
Demonstrated expertise with deep learning frameworks,…"
Machine Learning Engineer,"New York, NY",Tapad,None,"Experience with machine learning, including Kubeflow and TensorFlow.
We make sure our virtual office is a welcoming space, full of individuals who can teach and…"
"Software Engineer, Machine Learning","New York, NY 10003 (Flatiron District area)",Facebook,None,"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models."
Full Stack Engineer - Machine Learning Platform,"New York, NY",Spotify,None,"You have a strong interest in machine learning.
Collaborate with machine learning engineers, data scientists, designers, product managers, user researchers, and…"
"Summer Fellow, Machine Learning Engineer","New York, NY",Conde Nast,None,"We are seeking a Machine Learning Engineering Fellow to assist in these projects.
Design and implement scalable systems to convert large volumes of data into…"
"Summer Research Assistant/Associate, Machine Learning (Cente...","New York, NY 10010 (Flatiron District area)",Simons Foundation,None,"Required experience includes courses in probability and statistics, linear algebra, machine learning and/or signal processing."
"Software Engineer, Machine Learning Platform","Brooklyn, NY 11201",Etsy,None,"A foundational understanding of machine learning.
2+ years of experience as an engineer in machine learning and/or infrastructure engineering and a focus on…"
"Machine Learning Engineer, Applied AI (L3)","New York, NY",Virta Health,None,You have 3+ years experience as a data scientist/machine learning engineer deploying models in production at scale.
Summer 2021 Internship: Artificial Intelligence and Machine...,"New York, NY",The Motley Fool,None,"Familiarity with a deep learning framework.
Proficiency with Python and/or R and basic libraries for machine learning (e.g. PANDAS and Scikit-Learn)."
Machine Learning (AI) Engineer,"New York, NY 10036 (Midtown area)",Gemological Institute of America,None,"Understanding of machine learning techniques and algorithms, such as CNN, k-NN, Naive Bayes, SVM, etc.
Demonstrated expertise with deep learning frameworks,…"
Machine Learning Engineer,"New York, NY",Tapad,None,"Experience with machine learning, including Kubeflow and TensorFlow.
We make sure our virtual office is a welcoming space, full of individuals who can teach and…"
Applied Machine Learning Engineer,"New York, NY",Alldus,None,"Write production-level machine learning models.
Experience building out production-ready machine learning solutions.
Steps up to handle tough issues."
