Title,Location,Company,Salary,Description
Machine Learning Engineer,"Palo Alto, CA 94303",LVIS Corporation,"From $140,000 a year","Proficiency in basic machine learning algorithms and techniques.
2+ years of production-level machine learning model deployment."
Program Manager - AI and Machine Learning,"Menlo Park, CA",Ursus,None,"This role will partner closely with a large cross-functional team including engineering, research, product management, product marketing, legal, policy,…"
Machine Learning Engineer,"San Jose, CA",Abacus Service Corporation,$40 - $70 an hour,"The responsibility starts with creating machine learning models for sensor fusion, situation interpretation and path planner.
Knowledge of ADAS/AD features."
Machine Learning Research Scientist,"Santa Clara, CA",Hologic,None,"Implement custom machine learning codes and algorithms, deploy the machine learning solutions and algorithms into production."
"Intern, Machine Learning","San Jose, CA 95117 (West San Jose area)",Arm,None,"Training large deep learning models on powerful GPU-based systems,.
Knowledge of state-of-the-art deep learning libraries such as Tensorflow and Pytorch."
Machine Learning/AI,"San Jose, CA",Honda Research Institute USA,None,"Experience with deep learning software like TensorFlow or PyTorch.
This position investigates how inverse reinforcement learning (IRL) can be used to model the…"
Science Intern (Machine Learning),"Sunnyvale, CA 94085 (East Murphy area)",Dolby,None,"This is a junior scientist role, which requires knowledge of machine learning and deep learning, statistics, data analytics, fast prototyping skills, experience…"
Machine Learning Engineer Intern,"Palo Alto, CA",Curai,None,"Analyze the performance of ML models on complex healthcare applications, in areas such as medical NLP, clinical decision making, ML learning loops, and drive…"
Machine Learning Specialists,"Santa Clara, CA",AvantSoft,None,"Build novel machine learning algorithms.
Develop data and machine learning models and solutions.
Develop AI/machine learning solutions targeted towards…"
Machine Learning Engineer,"San Jose, CA 95110 (Downtown area)",The Blue Store,$50 - $100 an hour,"Build machine learning and deep learning models to analyze data and draw insight to make the best decisions.
4+ years of experience in Python.
$50-100 per hour."
Machine Learning Engineer-Personalization,"Mountain View, CA",Teladoc Health,None,"This includes feature engineering, unsupervised learning, supervised learning, reinforcement learning.
The machine learning effort is part of the Data Science…"
Machine Learning / AI Internship,"Santa Clara Valley, CA 95014",Apple,None,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…"
Machine Learning Engineer,"Sunnyvale, CA 94086",Intuitive,None,"Deep knowledge in machine learning and medical image processing.
Familiarity with machine learning frameworks such as PyTorch, Tensorflow, etc."
Compiler Software Engineer - Machine Learning,"San Jose, CA 95124 (Cambrian Park area)",Xilinx,None,"Familiarity with deep learning frameworks (e.g. Tensorflow, Pytorch etc) and software stack (e.g. TVM ).
You will also work on performance modeling tools that…"
"Machine Learning Engineer - Fraud Engineering, Algorithms, a...","Santa Clara Valley, CA 95014",Apple,None,"We encourage engineers to stay abreast of machine learning research by attending conferences.
Strong working knowledge of machine learning algorithms including…"
Machine Learning Engineer-Personalization,"Mountain View, CA",Teladoc Health,None,"This includes feature engineering, unsupervised learning, supervised learning, reinforcement learning.
The machine learning effort is part of the Data Science…"
Machine Learning Engineer-Personalization,"Mountain View, CA",Teladoc Health,None,"This includes feature engineering, unsupervised learning, supervised learning, reinforcement learning.
The machine learning effort is part of the Data Science…"
Science Intern (Machine Learning),"Sunnyvale, CA 94085 (East Murphy area)",Dolby,None,"This is a junior scientist role, which requires knowledge of machine learning and deep learning, statistics, data analytics, fast prototyping skills, experience…"
Machine Learning Engineer-Personalization,"Mountain View, CA",Teladoc Health,None,"This includes feature engineering, unsupervised learning, supervised learning, reinforcement learning.
The machine learning effort is part of the Data Science…"
Science Intern (Machine Learning),"Sunnyvale, CA 94085 (East Murphy area)",Dolby,None,"This is a junior scientist role, which requires knowledge of machine learning and deep learning, statistics, data analytics, fast prototyping skills, experience…"
"Machine Learning Engineer - Fraud Engineering, Algorithms, a...","Santa Clara Valley, CA 95014",Apple,None,"We encourage engineers to stay abreast of machine learning research by attending conferences.
Strong working knowledge of machine learning algorithms including…"
Machine Learning Engineer-Personalization,"Mountain View, CA",Teladoc Health,None,"This includes feature engineering, unsupervised learning, supervised learning, reinforcement learning.
The machine learning effort is part of the Data Science…"
Science Intern (Machine Learning),"Sunnyvale, CA 94085 (East Murphy area)",Dolby,None,"This is a junior scientist role, which requires knowledge of machine learning and deep learning, statistics, data analytics, fast prototyping skills, experience…"
"Machine Learning Engineer - Fraud Engineering, Algorithms, a...","Santa Clara Valley, CA 95014",Apple,None,"We encourage engineers to stay abreast of machine learning research by attending conferences.
Strong working knowledge of machine learning algorithms including…"
Software Engineer - Machine Learning,"Mountain View, CA",DiDi Labs,None,"Experience with building scalable machine learning systems.
Basic knowledge of classical machine learning algorithms.
Familiar with Spark and Hive."
Machine Learning Engineer-Personalization,"Mountain View, CA",Teladoc Health,None,"This includes feature engineering, unsupervised learning, supervised learning, reinforcement learning.
The machine learning effort is part of the Data Science…"
Science Intern (Machine Learning),"Sunnyvale, CA 94085 (East Murphy area)",Dolby,None,"This is a junior scientist role, which requires knowledge of machine learning and deep learning, statistics, data analytics, fast prototyping skills, experience…"
"Machine Learning Engineer - Fraud Engineering, Algorithms, a...","Santa Clara Valley, CA 95014",Apple,None,"We encourage engineers to stay abreast of machine learning research by attending conferences.
Strong working knowledge of machine learning algorithms including…"
Software Engineer - Machine Learning,"Mountain View, CA",DiDi Labs,None,"Experience with building scalable machine learning systems.
Basic knowledge of classical machine learning algorithms.
Familiar with Spark and Hive."
Compiler Software Engineer - Machine Learning,"San Jose, CA 95124 (Cambrian Park area)",Xilinx,None,"Familiarity with deep learning frameworks (e.g. Tensorflow, Pytorch etc) and software stack (e.g. TVM ).
You will also work on performance modeling tools that…"
Machine Learning Engineer-Personalization,"Mountain View, CA",Teladoc Health,None,"This includes feature engineering, unsupervised learning, supervised learning, reinforcement learning.
The machine learning effort is part of the Data Science…"
Science Intern (Machine Learning),"Sunnyvale, CA 94085 (East Murphy area)",Dolby,None,"This is a junior scientist role, which requires knowledge of machine learning and deep learning, statistics, data analytics, fast prototyping skills, experience…"
Software Engineer - Machine Learning,"Mountain View, CA",DiDi Labs,None,"Experience with building scalable machine learning systems.
Basic knowledge of classical machine learning algorithms.
Familiar with Spark and Hive."
Compiler Software Engineer - Machine Learning,"San Jose, CA 95124 (Cambrian Park area)",Xilinx,None,"Familiarity with deep learning frameworks (e.g. Tensorflow, Pytorch etc) and software stack (e.g. TVM ).
You will also work on performance modeling tools that…"
"Machine Learning Engineer - Fraud Engineering, Algorithms, a...","Santa Clara Valley, CA 95014",Apple,None,"We encourage engineers to stay abreast of machine learning research by attending conferences.
Strong working knowledge of machine learning algorithms including…"
Machine Learning Engineer,"Mountain View, CA",XMotors.ai,None,"Including latest DNN models, reinforcement learning, traditional machine learning.
We are looking for machine learning research engineer with strong programming…"
Machine Learning Engineer-Personalization,"Mountain View, CA",Teladoc Health,None,"This includes feature engineering, unsupervised learning, supervised learning, reinforcement learning.
The machine learning effort is part of the Data Science…"
Science Intern (Machine Learning),"Sunnyvale, CA 94085 (East Murphy area)",Dolby,None,"This is a junior scientist role, which requires knowledge of machine learning and deep learning, statistics, data analytics, fast prototyping skills, experience…"
Compiler Software Engineer - Machine Learning,"San Jose, CA 95124 (Cambrian Park area)",Xilinx,None,"Familiarity with deep learning frameworks (e.g. Tensorflow, Pytorch etc) and software stack (e.g. TVM ).
You will also work on performance modeling tools that…"
"Machine Learning Engineer - Fraud Engineering, Algorithms, a...","Santa Clara Valley, CA 95014",Apple,None,"We encourage engineers to stay abreast of machine learning research by attending conferences.
Strong working knowledge of machine learning algorithms including…"
Software Engineer - Machine Learning,"Mountain View, CA",DiDi Labs,None,"Experience with building scalable machine learning systems.
Basic knowledge of classical machine learning algorithms.
Familiar with Spark and Hive."
Machine Learning/AI,"San Jose, CA",Honda Research Institute USA,None,"Experience with deep learning software like TensorFlow or PyTorch.
This position investigates how inverse reinforcement learning (IRL) can be used to model the…"
